SHIP DRAFT 6.16 m 
 U = 20.00 kts,  HDG =  45.0 deg,  SWH =  6.00 T0 = 11.00 Longcrested                                                   
 COUNT, NCHAN  3001   16
 DT    0.20000
 COUNT  TIME  WAVEHT   SURGE    SWAY   HEAVE    ROLL   PITCH     YAW    ROLL   PITCH     YAW  LONMOT  LATMOT  VERMOT  LONVEL  LATVEL  VERVEL  
 STEP    SEC  METER   METER   METER   METER   DEG     DEG     DEG     DEG/S   DEG/S   DEG/S   METER   METER   METER   M/S     M/S     M/S     
    1    0.000   3.672  -0.550   0.461   2.051  -4.261  -2.223   0.463   0.000   0.000   0.000  -0.672   0.307  -0.258   0.000   0.000   0.000
    2    0.200   3.336  -0.519   0.480   1.893  -4.617  -2.265   0.358  -1.778  -0.209  -0.524  -0.644   0.462  -0.461   0.141   0.772  -1.017
    3    0.400   3.220  -0.476   0.486   1.700  -4.873  -2.246   0.246  -1.282   0.094  -0.563  -0.601   0.603  -0.636   0.214   0.706  -0.876
    4    0.600   3.081  -0.422   0.478   1.478  -5.016  -2.165   0.127  -0.715   0.406  -0.594  -0.545   0.728  -0.775   0.283   0.628  -0.694
    5    0.800   2.809  -0.358   0.459   1.233  -5.025  -2.022   0.006  -0.048   0.716  -0.605  -0.475   0.835  -0.872   0.347   0.531  -0.486
    6    1.000   2.603  -0.285   0.430   0.969  -4.896  -1.820  -0.115   0.646   1.008  -0.602  -0.394   0.920  -0.926   0.406   0.428  -0.270
    7    1.200   2.207  -0.206   0.393   0.693  -4.624  -1.566  -0.230   1.363   1.272  -0.578  -0.302   0.982  -0.938   0.458   0.310  -0.056
    8    1.400   1.282  -0.122   0.351   0.410  -4.208  -1.269  -0.338   2.078   1.485  -0.538  -0.203   1.019  -0.912   0.498   0.185   0.130
    9    1.600   0.355  -0.035   0.304   0.122  -3.652  -0.939  -0.435   2.777   1.649  -0.487  -0.097   1.031  -0.856   0.528   0.057   0.279
   10    1.800   0.020   0.051   0.255  -0.167  -2.975  -0.589  -0.520   3.389   1.747  -0.425   0.012   1.018  -0.781   0.546  -0.064   0.375
   11    2.000  -0.128   0.136   0.206  -0.453  -2.199  -0.233  -0.591   3.879   1.783  -0.356   0.122   0.983  -0.696   0.549  -0.174   0.423
   12    2.200  -0.557   0.216   0.157  -0.734  -1.340   0.117  -0.647   4.296   1.750  -0.277   0.229   0.927  -0.615   0.537  -0.283   0.407
   13    2.400  -0.958   0.290   0.110  -1.004  -0.427   0.448  -0.685   4.565   1.652  -0.193   0.330   0.850  -0.543   0.506  -0.384   0.360
   14    2.600  -1.247   0.356   0.064  -1.259   0.528   0.751  -0.706   4.776   1.519  -0.102   0.423   0.752  -0.485   0.462  -0.491   0.290
   15    2.800  -1.829   0.413   0.018  -1.494   1.500   1.022  -0.709   4.857   1.355  -0.017   0.504   0.635  -0.442   0.407  -0.580   0.212
   16    3.000  -2.556   0.457  -0.027  -1.700   2.447   1.254  -0.694   4.735   1.157   0.075   0.571   0.503  -0.412   0.335  -0.664   0.151
   17    3.200  -2.910   0.490  -0.072  -1.871   3.331   1.444  -0.664   4.422   0.953   0.153   0.623   0.360  -0.390   0.257  -0.716   0.109
   18    3.400  -3.030   0.510  -0.114  -2.001   4.134   1.597  -0.618   4.016   0.762   0.226   0.658   0.209  -0.367   0.177  -0.752   0.116
   19    3.600  -3.206   0.517  -0.155  -2.083   4.827   1.711  -0.561   3.462   0.570   0.286   0.677   0.057  -0.335   0.093  -0.759   0.159
   20    3.800  -3.172   0.511  -0.192  -2.112   5.406   1.789  -0.494   2.896   0.390   0.335   0.679  -0.093  -0.288   0.010  -0.751   0.237
   21    4.000  -2.822   0.493  -0.225  -2.085   5.870   1.835  -0.420   2.320   0.230   0.372   0.665  -0.238  -0.217  -0.069  -0.725   0.352
   22    4.200  -2.575   0.464  -0.252  -2.005   6.210   1.852  -0.343   1.700   0.086   0.384   0.637  -0.370  -0.123  -0.139  -0.659   0.473
   23    4.400  -2.526   0.425  -0.270  -1.871   6.405   1.843  -0.266   0.976  -0.045   0.385   0.596  -0.482   0.001  -0.205  -0.563   0.617
   24    4.600  -2.404   0.377  -0.280  -1.688   6.448   1.812  -0.193   0.217  -0.155   0.367   0.545  -0.571   0.151  -0.257  -0.442   0.752
   25    4.800  -2.361   0.323  -0.282  -1.462   6.341   1.762  -0.124  -0.535  -0.250   0.342   0.485  -0.635   0.327  -0.299  -0.323   0.881
   26    5.000  -2.692   0.264  -0.278  -1.199   6.096   1.697  -0.061  -1.227  -0.326   0.316   0.419  -0.678   0.524  -0.328  -0.216   0.986
   27    5.200  -3.038   0.203  -0.270  -0.909   5.704   1.615  -0.002  -1.962  -0.407   0.295   0.349  -0.701   0.734  -0.350  -0.113   1.046
   28    5.400  -2.857   0.140  -0.256  -0.603   5.165   1.518   0.054  -2.696  -0.485   0.278   0.277  -0.704   0.944  -0.362  -0.015   1.053
   29    5.600  -2.173   0.079  -0.237  -0.291   4.494   1.403   0.106  -3.351  -0.575   0.262   0.203  -0.688   1.142  -0.367   0.079   0.987
   30    5.800  -1.381   0.019  -0.215   0.014   3.726   1.268   0.156  -3.843  -0.677   0.247   0.130  -0.658   1.312  -0.366   0.150   0.851
   31    6.000  -0.638  -0.037  -0.190   0.300   2.894   1.110   0.201  -4.161  -0.789   0.226   0.059  -0.617   1.439  -0.356   0.206   0.636
   32    6.200   0.158  -0.088  -0.164   0.557   2.027   0.928   0.242  -4.332  -0.912   0.206  -0.010  -0.568   1.511  -0.342   0.247   0.361
   33    6.400   1.039  -0.135  -0.136   0.779   1.136   0.719   0.279  -4.456  -1.043   0.185  -0.074  -0.510   1.519  -0.324   0.287   0.042
   34    6.600   1.740  -0.174  -0.108   0.958   0.245   0.487   0.313  -4.455  -1.159   0.170  -0.134  -0.449   1.460  -0.300   0.304  -0.296
   35    6.800   1.985  -0.208  -0.082   1.091  -0.614   0.237   0.344  -4.295  -1.252   0.158  -0.188  -0.391   1.335  -0.270   0.295  -0.628
   36    7.000   1.999  -0.236  -0.059   1.178  -1.430  -0.030   0.374  -4.079  -1.333   0.147  -0.237  -0.336   1.146  -0.241   0.272  -0.942
   37    7.200   2.321  -0.258  -0.040   1.222  -2.191  -0.306   0.401  -3.809  -1.382   0.134  -0.279  -0.287   0.903  -0.211   0.246  -1.217
   38    7.400   3.009  -0.275  -0.024   1.225  -2.895  -0.585   0.423  -3.520  -1.396   0.113  -0.315  -0.241   0.615  -0.179   0.232  -1.438
   39    7.600   3.609  -0.287  -0.011   1.194  -3.525  -0.857   0.440  -3.149  -1.358   0.084  -0.344  -0.196   0.301  -0.145   0.222  -1.573
   40    7.800   3.864  -0.294   0.000   1.135  -4.062  -1.111   0.450  -2.683  -1.272   0.050  -0.365  -0.155  -0.023  -0.109   0.205  -1.619
   41    8.000   3.849  -0.297   0.008   1.062  -4.502  -1.341   0.452  -2.203  -1.147   0.012  -0.381  -0.116  -0.336  -0.078   0.196  -1.563
   42    8.200   3.545  -0.295   0.015   0.978  -4.846  -1.533   0.445  -1.716  -0.960  -0.034  -0.389  -0.077  -0.620  -0.041   0.198  -1.423
   43    8.400   2.954  -0.290   0.020   0.895  -5.108  -1.682   0.430  -1.314  -0.745  -0.079  -0.391  -0.035  -0.859  -0.009   0.208  -1.195
   44    8.600   2.283  -0.281   0.024   0.819  -5.286  -1.780   0.405  -0.889  -0.490  -0.122  -0.387   0.008  -1.038   0.021   0.214  -0.893
   45    8.800   1.659  -0.268   0.026   0.751  -5.375  -1.823   0.372  -0.444  -0.213  -0.163  -0.376   0.050  -1.150   0.054   0.213  -0.562
   46    9.000   1.051  -0.252   0.028   0.697  -5.376  -1.810   0.332  -0.004   0.062  -0.201  -0.359   0.094  -1.192   0.083   0.217  -0.209
   47    9.200   0.598  -0.233   0.032   0.656  -5.297  -1.745   0.286   0.396   0.326  -0.232  -0.337   0.139  -1.164   0.110   0.226   0.138
   48    9.400   0.394  -0.210   0.037   0.624  -5.126  -1.629   0.234   0.854   0.579  -0.262  -0.309   0.186  -1.075   0.140   0.236   0.445
   49    9.600   0.135  -0.184   0.047   0.601  -4.867  -1.471   0.177   1.292   0.789  -0.284  -0.276   0.234  -0.934   0.165   0.242   0.705
   50    9.800  -0.387  -0.156   0.059   0.578  -4.528  -1.282   0.117   1.696   0.946  -0.301  -0.239   0.283  -0.760   0.188   0.244   0.873
   51   10.000  -0.769  -0.126   0.075   0.549  -4.112  -1.071   0.054   2.081   1.056  -0.314  -0.197   0.332  -0.568   0.210   0.244   0.957
   52   10.200  -0.638  -0.093   0.093   0.507  -3.639  -0.850  -0.011   2.362   1.107  -0.325  -0.151   0.381  -0.379   0.227   0.246   0.948
   53   10.400  -0.328  -0.059   0.112   0.449  -3.115  -0.631  -0.077   2.622   1.095  -0.330  -0.104   0.428  -0.209   0.238   0.236   0.851
   54   10.600  -0.322  -0.025   0.129   0.369  -2.542  -0.423  -0.143   2.867   1.040  -0.327  -0.055   0.469  -0.072   0.244   0.205   0.685
   55   10.800  -0.530   0.011   0.143   0.265  -1.932  -0.232  -0.206   3.050   0.956  -0.317  -0.006   0.503   0.024   0.247   0.166   0.476
   56   11.000  -0.647   0.047   0.155   0.139  -1.307  -0.063  -0.267   3.121   0.845  -0.305   0.043   0.530   0.073   0.243   0.137   0.246
   57   11.200  -0.669   0.082   0.164  -0.008  -0.682   0.083  -0.322   3.128   0.727  -0.276   0.090   0.548   0.077   0.234   0.091   0.019
   58   11.400  -0.722   0.116   0.168  -0.171  -0.058   0.202  -0.370   3.121   0.596  -0.236   0.133   0.554   0.037   0.217   0.029  -0.197
   59   11.600  -0.793   0.148   0.166  -0.344   0.581   0.299  -0.406   3.194   0.486  -0.180   0.173   0.540  -0.035   0.198  -0.069  -0.362
   60   11.800  -0.748   0.176   0.157  -0.518   1.211   0.374  -0.428   3.150   0.374  -0.112   0.207   0.506  -0.133   0.173  -0.170  -0.488
   61   12.000  -0.521   0.200   0.143  -0.685   1.814   0.431  -0.436   3.014   0.287  -0.040   0.236   0.455  -0.242   0.145  -0.256  -0.545
   62   12.200  -0.302   0.219   0.127  -0.834   2.364   0.474  -0.428   2.752   0.210   0.039   0.259   0.389  -0.349   0.111  -0.330  -0.537
   63   12.400  -0.463   0.232   0.107  -0.961   2.874   0.505  -0.404   2.548   0.155   0.120   0.275   0.305  -0.447   0.080  -0.418  -0.486
   64   12.600  -0.989   0.239   0.083  -1.055   3.344   0.525  -0.365   2.349   0.101   0.198   0.282   0.205  -0.522   0.039  -0.503  -0.375
   65   12.800  -1.344   0.239   0.056  -1.113   3.763   0.537  -0.313   2.098   0.063   0.256   0.283   0.093  -0.568   0.002  -0.558  -0.233
   66   13.000  -1.251   0.231   0.028  -1.130   4.116   0.545  -0.252   1.763   0.038   0.306   0.276  -0.024  -0.580  -0.035  -0.588  -0.058
   67   13.200  -1.137   0.217   0.004  -1.106   4.368   0.548  -0.186   1.260   0.017   0.332   0.262  -0.137  -0.553  -0.070  -0.562   0.134
   68   13.400  -1.407   0.197  -0.018  -1.040   4.517   0.551  -0.117   0.743   0.012   0.345   0.242  -0.241  -0.485  -0.101  -0.520   0.340
   69   13.600  -1.839   0.171  -0.037  -0.932   4.569   0.550  -0.047   0.260  -0.003   0.349   0.215  -0.336  -0.378  -0.131  -0.475   0.534
   70   13.800  -2.022   0.140  -0.053  -0.787   4.530   0.548   0.019  -0.192  -0.012   0.332   0.184  -0.417  -0.236  -0.156  -0.409   0.712
   71   14.000  -1.855   0.106  -0.066  -0.616   4.402   0.544   0.079  -0.642  -0.019   0.299   0.150  -0.482  -0.067  -0.171  -0.324   0.841
   72   14.200  -1.425   0.069  -0.073  -0.422   4.171   0.535   0.131  -1.155  -0.045   0.260   0.113  -0.525   0.119  -0.187  -0.216   0.930
   73   14.400  -0.902   0.032  -0.074  -0.218   3.847   0.521   0.172  -1.621  -0.070   0.205   0.074  -0.544   0.310  -0.192  -0.092   0.956
   74   14.600  -0.488  -0.005  -0.069  -0.014   3.448   0.500   0.201  -1.993  -0.106   0.145   0.036  -0.539   0.494  -0.192   0.026   0.922
   75   14.800  -0.252  -0.040  -0.060   0.182   3.006   0.471   0.217  -2.211  -0.143   0.082  -0.001  -0.513   0.662  -0.186   0.129   0.839
   76   15.000  -0.097  -0.071  -0.048   0.357   2.538   0.435   0.222  -2.339  -0.184   0.023  -0.036  -0.470   0.801  -0.173   0.213   0.695
   77   15.200   0.058  -0.099  -0.034   0.504   2.055   0.390   0.217  -2.414  -0.225  -0.028  -0.067  -0.414   0.903  -0.157   0.282   0.513
   78   15.400   0.315  -0.122  -0.018   0.619   1.553   0.337   0.202  -2.514  -0.265  -0.072  -0.095  -0.345   0.965  -0.138   0.347   0.306
   79   15.600   0.749  -0.140   0.000   0.694   1.045   0.277   0.181  -2.537  -0.298  -0.107  -0.117  -0.266   0.978  -0.112   0.391   0.070
   80   15.800   1.145  -0.151   0.017   0.728   0.542   0.213   0.153  -2.516  -0.318  -0.138  -0.134  -0.183   0.948  -0.084   0.420  -0.151
   81   16.000   1.221  -0.157   0.032   0.724   0.051   0.145   0.122  -2.456  -0.340  -0.158  -0.145  -0.097   0.874  -0.055   0.425  -0.369
   82   16.200   1.202  -0.156   0.044   0.683  -0.413   0.078   0.086  -2.322  -0.337  -0.176  -0.150  -0.014   0.764  -0.022   0.418  -0.553
   83   16.400   1.458  -0.149   0.052   0.611  -0.848   0.012   0.050  -2.175  -0.328  -0.181  -0.148   0.064   0.624   0.010   0.392  -0.700
   84   16.600   1.709  -0.136   0.055   0.513  -1.240  -0.047   0.015  -1.958  -0.295  -0.174  -0.139   0.133   0.464   0.043   0.344  -0.797
   85   16.800   1.470  -0.117   0.053   0.397  -1.592  -0.094  -0.017  -1.759  -0.239  -0.163  -0.124   0.192   0.298   0.075   0.294  -0.831
   86   17.000   0.963  -0.095   0.047   0.272  -1.910  -0.131  -0.046  -1.593  -0.185  -0.143  -0.105   0.240   0.134   0.099   0.238  -0.820
   87   17.200   0.677  -0.069   0.036   0.144  -2.183  -0.153  -0.071  -1.362  -0.106  -0.126  -0.080   0.275  -0.016   0.122   0.177  -0.751
   88   17.400   0.548  -0.040   0.019   0.021  -2.398  -0.156  -0.093  -1.078  -0.017  -0.110  -0.052   0.297  -0.144   0.140   0.111  -0.639
   89   17.600   0.340  -0.011  -0.004  -0.094  -2.546  -0.142  -0.112  -0.741   0.071  -0.094  -0.022   0.305  -0.244   0.152   0.041  -0.501
   90   17.800   0.332   0.018  -0.030  -0.194  -2.637  -0.111  -0.128  -0.455   0.151  -0.080   0.010   0.303  -0.314   0.157  -0.012  -0.347
   91   18.000   0.779   0.047  -0.056  -0.279  -2.667  -0.065  -0.143  -0.146   0.231  -0.074   0.042   0.294  -0.351   0.160  -0.045  -0.188
   92   18.200   1.294   0.074  -0.081  -0.348  -2.634  -0.008  -0.156   0.164   0.287  -0.066   0.073   0.280  -0.361   0.157  -0.070  -0.049
   93   18.400   1.348   0.097  -0.105  -0.398  -2.529   0.057  -0.166   0.523   0.324  -0.051   0.102   0.259  -0.343   0.144  -0.105   0.090
   94   18.600   0.984   0.118  -0.127  -0.434  -2.338   0.126  -0.174   0.957   0.344  -0.037   0.128   0.230  -0.308   0.133  -0.148   0.176
   95   18.800   0.604   0.136  -0.148  -0.456  -2.082   0.194  -0.176   1.278   0.339  -0.012   0.151   0.192  -0.259   0.113  -0.186   0.243
   96   19.000   0.332   0.149  -0.163  -0.466  -1.791   0.256  -0.172   1.457   0.312   0.019   0.169   0.151  -0.204   0.089  -0.209   0.278
   97   19.200  -0.054   0.157  -0.175  -0.468  -1.480   0.309  -0.161   1.553   0.263   0.057   0.182   0.104  -0.151   0.063  -0.233   0.262
   98   19.400  -0.707   0.160  -0.182  -0.462  -1.169   0.347  -0.142   1.556   0.194   0.096   0.188   0.053  -0.105   0.032  -0.253   0.232
   99   19.600  -1.459   0.158  -0.186  -0.448  -0.861   0.368  -0.115   1.541   0.101   0.136   0.187  -0.003  -0.070  -0.003  -0.280   0.176
  100   19.800  -1.964   0.151  -0.188  -0.429  -0.561   0.371  -0.081   1.496   0.015   0.167   0.181  -0.062  -0.047  -0.033  -0.295   0.115
  101   20.000  -2.069   0.139  -0.186  -0.400  -0.300   0.352  -0.042   1.305  -0.094   0.198   0.167  -0.120  -0.037  -0.069  -0.293   0.047
  102   20.200  -1.939   0.122  -0.178  -0.362  -0.097   0.310   0.002   1.017  -0.210   0.219   0.147  -0.173  -0.043  -0.101  -0.265  -0.026
  103   20.400  -1.745   0.101  -0.166  -0.312   0.065   0.248   0.050   0.811  -0.310   0.237   0.120  -0.222  -0.056  -0.132  -0.245  -0.067
  104   20.600  -1.461   0.076  -0.150  -0.250   0.197   0.168   0.098   0.660  -0.399   0.242   0.089  -0.266  -0.076  -0.155  -0.221  -0.103
  105   20.800  -1.089   0.048  -0.131  -0.174   0.298   0.070   0.145   0.503  -0.489   0.235   0.054  -0.303  -0.102  -0.178  -0.185  -0.128
  106   21.000  -0.731   0.018  -0.108  -0.086   0.367  -0.039   0.187   0.344  -0.545   0.212   0.015  -0.329  -0.126  -0.192  -0.130  -0.120
  107   21.200  -0.401  -0.014  -0.081   0.015   0.399  -0.155   0.223   0.161  -0.581   0.180  -0.025  -0.342  -0.146  -0.201  -0.063  -0.097
  108   21.400  -0.103  -0.046  -0.051   0.127   0.398  -0.274   0.253  -0.004  -0.595   0.150  -0.066  -0.343  -0.156  -0.204  -0.004  -0.052
  109   21.600  -0.008  -0.078  -0.018   0.246   0.373  -0.389   0.276  -0.126  -0.573   0.115  -0.105  -0.332  -0.155  -0.198   0.054   0.006
  110   21.800  -0.085  -0.109   0.016   0.372   0.320  -0.498   0.294  -0.266  -0.545   0.089  -0.144  -0.312  -0.141  -0.193   0.100   0.066
  111   22.000   0.100  -0.139   0.051   0.499   0.244  -0.598   0.307  -0.380  -0.500   0.066  -0.180  -0.284  -0.118  -0.181   0.137   0.117
  112   22.200   0.664  -0.166   0.087   0.621   0.159  -0.685   0.317  -0.424  -0.436   0.047  -0.213  -0.252  -0.086  -0.166   0.161   0.161
  113   22.400   1.072  -0.191   0.120   0.731   0.067  -0.760   0.323  -0.460  -0.375   0.032  -0.243  -0.218  -0.053  -0.146   0.169   0.164
  114   22.600   1.094  -0.213   0.151   0.828  -0.040  -0.823   0.326  -0.534  -0.318   0.013  -0.268  -0.181  -0.022  -0.129   0.185   0.156
  115   22.800   1.197  -0.230   0.180   0.902  -0.153  -0.873   0.322  -0.566  -0.249  -0.016  -0.289  -0.141   0.001  -0.103   0.201   0.114
  116   23.000   1.487  -0.243   0.204   0.953  -0.276  -0.910   0.312  -0.615  -0.182  -0.052  -0.304  -0.097   0.014  -0.076   0.221   0.065
  117   23.200   1.379  -0.251   0.223   0.979  -0.407  -0.933   0.292  -0.656  -0.118  -0.099  -0.314  -0.047   0.015  -0.048   0.248   0.006
  118   23.400   0.827  -0.253   0.236   0.975  -0.530  -0.939   0.262  -0.615  -0.030  -0.153  -0.316   0.006   0.006  -0.011   0.269  -0.047
  119   23.600   0.560  -0.248   0.244   0.947  -0.661  -0.928   0.220  -0.652   0.054  -0.208  -0.311   0.067  -0.012   0.025   0.303  -0.087
  120   23.800   0.724  -0.237   0.248   0.892  -0.789  -0.897   0.167  -0.641   0.157  -0.263  -0.298   0.135  -0.034   0.066   0.341  -0.111
  121   24.000   0.761  -0.219   0.250   0.815  -0.910  -0.845   0.106  -0.603   0.260  -0.307  -0.277   0.209  -0.057   0.105   0.370  -0.117
  122   24.200   0.588  -0.194   0.247   0.716  -0.993  -0.771   0.038  -0.419   0.371  -0.341  -0.247   0.284  -0.080   0.147   0.373  -0.113
  123   24.400   0.646  -0.163   0.241   0.598  -1.021  -0.676  -0.035  -0.138   0.473  -0.364  -0.210   0.355  -0.100   0.185   0.356  -0.102
  124   24.600   0.919  -0.126   0.232   0.462  -0.977  -0.559  -0.110   0.222   0.587  -0.374  -0.166   0.419  -0.115   0.223   0.319  -0.075
  125   24.800   1.010  -0.085   0.220   0.313  -0.878  -0.425  -0.183   0.493   0.666  -0.366  -0.116   0.475  -0.126   0.250   0.280  -0.053
  126   25.000   0.817  -0.041   0.205   0.153  -0.727  -0.277  -0.251   0.757   0.740  -0.344  -0.061   0.519  -0.134   0.276   0.223  -0.040
  127   25.200   0.507   0.006   0.187  -0.014  -0.517  -0.118  -0.313   1.047   0.798  -0.306  -0.002   0.548  -0.136   0.291   0.146  -0.009
  128   25.400   0.161   0.053   0.164  -0.186  -0.249   0.047  -0.365   1.339   0.825  -0.260   0.058   0.559  -0.137   0.299   0.053  -0.005
  129   25.600  -0.103   0.099   0.136  -0.359   0.074   0.214  -0.406   1.615   0.834  -0.205   0.117   0.549  -0.138   0.299  -0.052  -0.005
  130   25.800  -0.099   0.143   0.104  -0.528   0.429   0.376  -0.435   1.778   0.808  -0.147   0.175   0.520  -0.141   0.287  -0.141  -0.014
  131   26.000   0.129   0.184   0.071  -0.692   0.806   0.528  -0.453   1.883   0.760  -0.089   0.229   0.476  -0.148   0.268  -0.220  -0.038
  132   26.200   0.268   0.220   0.036  -0.845   1.189   0.668  -0.459   1.915   0.699  -0.030   0.277   0.418  -0.158   0.242  -0.289  -0.047
  133   26.400   0.023   0.251  -0.001  -0.982   1.571   0.791  -0.453   1.912   0.617   0.030   0.319   0.347  -0.168   0.209  -0.358  -0.053
  134   26.600  -0.596   0.277  -0.038  -1.100   1.945   0.900  -0.436   1.869   0.543   0.082   0.354   0.264  -0.175   0.176  -0.415  -0.035
  135   26.800  -1.268   0.295  -0.077  -1.192   2.282   0.989  -0.409   1.684   0.447   0.134   0.381   0.172  -0.175   0.133  -0.458  -0.001
  136   27.000  -1.766   0.306  -0.114  -1.254   2.564   1.059  -0.373   1.412   0.351   0.181   0.398   0.076  -0.166   0.089  -0.483   0.046
  137   27.200  -2.113   0.310  -0.150  -1.284   2.775   1.112  -0.329   1.056   0.265   0.220   0.407  -0.022  -0.143   0.045  -0.488   0.118
  138   27.400  -2.291   0.307  -0.184  -1.281   2.913   1.146  -0.279   0.686   0.168   0.252   0.407  -0.118  -0.105  -0.003  -0.480   0.187
  139   27.600  -2.182   0.296  -0.213  -1.244   2.982   1.161  -0.225   0.347   0.076   0.268   0.397  -0.208  -0.053  -0.048  -0.450   0.263
  140   27.800  -1.900   0.279  -0.238  -1.174   2.992   1.159  -0.171   0.053  -0.011   0.270   0.379  -0.289   0.014  -0.090  -0.406   0.336
  141   28.000  -1.650   0.255  -0.256  -1.074   2.953   1.139  -0.118  -0.198  -0.099   0.265   0.353  -0.359   0.095  -0.130  -0.350   0.402
  142   28.200  -1.419   0.225  -0.267  -0.945   2.858   1.104  -0.067  -0.473  -0.177   0.254   0.320  -0.415   0.187  -0.164  -0.281   0.463
  143   28.400  -1.198   0.191  -0.270  -0.793   2.707   1.053  -0.019  -0.756  -0.254   0.243   0.282  -0.456   0.288  -0.194  -0.206   0.503
  144   28.600  -1.108   0.154  -0.265  -0.622   2.492   0.987   0.028  -1.077  -0.330   0.231   0.238  -0.482   0.391  -0.217  -0.131   0.515
  145   28.800  -1.017   0.115  -0.253  -0.439   2.223   0.906   0.072  -1.344  -0.403   0.223   0.191  -0.496   0.492  -0.236  -0.069   0.507
  146   29.000  -0.722   0.073  -0.236  -0.249   1.911   0.809   0.116  -1.560  -0.486   0.222   0.141  -0.502   0.583  -0.250  -0.027   0.452
  147   29.200  -0.437   0.032  -0.216  -0.061   1.560   0.698   0.160  -1.757  -0.556   0.216   0.090  -0.499   0.658  -0.257   0.014   0.373
  148   29.400  -0.360  -0.009  -0.191   0.121   1.159   0.570   0.201  -2.004  -0.641   0.209   0.037  -0.487   0.708  -0.262   0.061   0.253
  149   29.600  -0.255  -0.049  -0.163   0.291   0.711   0.428   0.241  -2.240  -0.710   0.198  -0.014  -0.465   0.732  -0.259   0.107   0.118
  150   29.800  -0.060  -0.087  -0.132   0.444   0.220   0.273   0.276  -2.456  -0.774   0.174  -0.065  -0.434   0.725  -0.251   0.159  -0.031
  151   30.000  -0.062  -0.122  -0.102   0.579  -0.296   0.107   0.305  -2.576  -0.830   0.148  -0.113  -0.395   0.689  -0.240   0.193  -0.181
  152   30.200  -0.076  -0.153  -0.075   0.693  -0.826  -0.066   0.328  -2.652  -0.867   0.114  -0.157  -0.351   0.624  -0.223   0.220  -0.327
  153   30.400   0.423  -0.181  -0.051   0.786  -1.356  -0.243   0.343  -2.652  -0.884   0.076  -0.198  -0.302   0.534  -0.202   0.246  -0.449
  154   30.600   1.271  -0.204  -0.028   0.857  -1.885  -0.419   0.351  -2.645  -0.878   0.036  -0.233  -0.247   0.423  -0.175   0.277  -0.555
  155   30.800   1.892  -0.221  -0.007   0.908  -2.393  -0.587   0.350  -2.536  -0.841  -0.005  -0.262  -0.186   0.299  -0.145   0.304  -0.623
  156   31.000   2.221  -0.234   0.012   0.939  -2.838  -0.743   0.342  -2.229  -0.783  -0.037  -0.284  -0.125   0.166  -0.113   0.305  -0.662
  157   31.200   2.455  -0.241   0.029   0.951  -3.205  -0.883   0.328  -1.832  -0.696  -0.069  -0.300  -0.066   0.033  -0.079   0.295  -0.667
  158   31.400   2.524  -0.243   0.045   0.945  -3.481  -1.001   0.309  -1.382  -0.591  -0.098  -0.310  -0.009  -0.096  -0.047   0.285  -0.643
  159   31.600   2.423  -0.241   0.061   0.923  -3.672  -1.095   0.284  -0.956  -0.468  -0.122  -0.312   0.047  -0.216  -0.014   0.276  -0.600
  160   31.800   2.264  -0.234   0.076   0.886  -3.793  -1.163   0.258  -0.604  -0.342  -0.133  -0.310   0.098  -0.324   0.014   0.260  -0.539
  161   32.000   1.916  -0.223   0.090   0.835  -3.835  -1.203   0.230  -0.207  -0.199  -0.139  -0.301   0.145  -0.416   0.044   0.230  -0.462
  162   32.200   1.340  -0.209   0.102   0.775  -3.806  -1.218   0.204   0.145  -0.075  -0.130  -0.288   0.181  -0.491   0.064   0.184  -0.377
  163   32.400   0.851  -0.193   0.111   0.706  -3.703  -1.207   0.180   0.513   0.052  -0.121  -0.271   0.208  -0.550   0.084   0.131  -0.291
  164   32.600   0.634  -0.174   0.118   0.629  -3.535  -1.174   0.158   0.840   0.167  -0.109  -0.251   0.224  -0.592   0.101   0.081  -0.210
  165   32.800   0.524  -0.154   0.123   0.544  -3.315  -1.119   0.136   1.102   0.277  -0.108  -0.228   0.234  -0.618   0.116   0.052  -0.131
  166   33.000   0.454  -0.133   0.126   0.457  -3.056  -1.047   0.114   1.294   0.359  -0.110  -0.203   0.241  -0.630   0.125   0.033  -0.059
  167   33.200   0.441  -0.111   0.128   0.369  -2.757  -0.959   0.089   1.493   0.441  -0.126  -0.176   0.246  -0.626   0.135   0.026   0.017
  168   33.400   0.334  -0.088   0.128   0.279  -2.422  -0.855   0.058   1.677   0.516  -0.156  -0.147   0.253  -0.608   0.145   0.035   0.092
  169   33.600   0.042  -0.065   0.127   0.191  -2.062  -0.740   0.019   1.800   0.579  -0.193  -0.116   0.264  -0.575   0.155   0.056   0.164
  170   33.800  -0.296  -0.040   0.125   0.108  -1.689  -0.611  -0.027   1.867   0.641  -0.232  -0.083   0.281  -0.525   0.164   0.087   0.250
  171   34.000  -0.545  -0.014   0.122   0.026  -1.305  -0.471  -0.081   1.920   0.704  -0.270  -0.048   0.305  -0.461   0.177   0.119   0.322
  172   34.200  -0.664   0.012   0.120  -0.049  -0.915  -0.323  -0.140   1.949   0.739  -0.293  -0.011   0.333  -0.382   0.182   0.140   0.392
  173   34.400  -0.689   0.040   0.116  -0.124  -0.508  -0.165  -0.202   2.036   0.788  -0.313   0.028   0.364  -0.294   0.195   0.152   0.441
